matchNumber,alliance,teamNumber
111,redAlliance,484
111,redAlliance,1218
111,redAlliance,316
111,blueAlliance,714
111,blueAlliance,9094
111,blueAlliance,2607
112,redAlliance,5684
112,redAlliance,7414
112,redAlliance,102
112,blueAlliance,1168
112,blueAlliance,365
112,blueAlliance,2590
113,redAlliance,2590
113,redAlliance,3142
113,redAlliance,103
113,blueAlliance,8513
113,blueAlliance,5992
113,blueAlliance,11
114,redAlliance,7110
114,redAlliance,5181
114,redAlliance,7045
114,blueAlliance,223
114,blueAlliance,9015
114,blueAlliance,1403
115,redAlliance,9027
115,redAlliance,222
115,redAlliance,365
115,blueAlliance,75
115,blueAlliance,1811
115,blueAlliance,4573
116,redAlliance,427
116,redAlliance,1168
116,redAlliance,834
116,blueAlliance,2722
116,blueAlliance,5401
116,blueAlliance,1640
117,redAlliance,5684
117,redAlliance,6921
117,redAlliance,4285
117,blueAlliance,1923
117,blueAlliance,341
117,blueAlliance,1279
118,redAlliance,4361
118,redAlliance,56
118,redAlliance,4342
118,blueAlliance,2495
118,blueAlliance,272
118,blueAlliance,2539
119,redAlliance,1257
119,redAlliance,293
119,redAlliance,2191
119,blueAlliance,102
119,blueAlliance,484
119,blueAlliance,1807
120,redAlliance,1218
120,redAlliance,1089
120,redAlliance,7414
120,blueAlliance,6226
120,blueAlliance,316
120,blueAlliance,3142
121,redAlliance,11
121,redAlliance,2720
121,redAlliance,714
121,blueAlliance,5438
121,blueAlliance,219
121,blueAlliance,5992
122,redAlliance,9094
122,redAlliance,5895
122,redAlliance,555
122,blueAlliance,8513
122,blueAlliance,103
122,blueAlliance,3637
123,redAlliance,427
123,redAlliance,2590
123,redAlliance,1807
123,blueAlliance,1168
123,blueAlliance,316
123,blueAlliance,2539
124,redAlliance,1391
124,redAlliance,4342
124,redAlliance,1923
124,blueAlliance,5895
124,blueAlliance,1640
124,blueAlliance,4285
125,redAlliance,2539
125,redAlliance,316
125,redAlliance,1168
125,blueAlliance,1403
125,blueAlliance,3314
125,blueAlliance,3637
126,redAlliance,4285
126,redAlliance,1640
126,redAlliance,5895
126,blueAlliance,1403
126,blueAlliance,3314
126,blueAlliance,3637
127,redAlliance,341
127,redAlliance,223
127,redAlliance,1676
127,blueAlliance,1218
127,blueAlliance,103
127,blueAlliance,2607
128,redAlliance,2539
128,redAlliance,316
128,redAlliance,1168
128,blueAlliance,1923
128,blueAlliance,4342
128,blueAlliance,1391
129,redAlliance,4285
129,redAlliance,1640
129,redAlliance,5895
129,blueAlliance,365
129,blueAlliance,1279
129,blueAlliance,9094
130,redAlliance,427
130,redAlliance,2590
130,redAlliance,1807
130,blueAlliance,1403
130,blueAlliance,3314
130,blueAlliance,3637
131,redAlliance,341
131,redAlliance,223
131,redAlliance,1676
131,blueAlliance,1168
131,blueAlliance,316
131,blueAlliance,2539
132,redAlliance,9094
132,redAlliance,1279
132,redAlliance,365
132,blueAlliance,1403
132,blueAlliance,3314
132,blueAlliance,3637
133,redAlliance,2607
133,redAlliance,103
133,redAlliance,1218
133,blueAlliance,1923
133,blueAlliance,4342
133,blueAlliance,1391
134,redAlliance,4285
134,redAlliance,1640
134,redAlliance,5895
134,blueAlliance,1807
134,blueAlliance,2590
134,blueAlliance,427
135,redAlliance,2607
135,redAlliance,103
135,redAlliance,1218
135,blueAlliance,1403
135,blueAlliance,3314
135,blueAlliance,3637
