matchNumber,teamNumber,initials,autoSpeakerMade,autoSpeakerMissed,autoAmpMade,autoAmpMissed,teleopAmpMade,teleopAmpMissed,teleopSpeakerMade,teleopSpeakerMissed,notesFed,trapMade,trapMissed,climbed,buddyClimb,brokeDown,comments
13,7110,AO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Had a decent attempt at defense
13,293,VC,1,0,0,0,0,0,2,0,1,0,0,0,0,0,
13,5401,DD,4,0,0,0,0,0,5,0,0,0,0,1,0,0,
13,272,SF,1,0,0,0,4,0,2,0,0,0,0,0,0,0,
13,9094,ME,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,1257,AO,0,0,0,0,5,0,2,0,0,0,0,0,0,0,
14,2539,VC,1,0,0,0,3,0,1,0,1,1,0,1,0,0,
14,1279,ME,0,0,0,0,1,0,3,0,1,0,0,1,0,0,
14,1391,DD,1,0,0,0,0,0,3,0,1,0,0,1,0,0,
14,219,SF,1,0,0,0,0,0,8,0,0,0,0,1,0,0,
14,9015,RA,1,0,0,0,2,0,3,0,0,0,0,0,0,0,The auto could be a 4 piece with a little tuning. They have potential the shooter is very powerful and can maybe shoot from further away.
15,427,AO,3,0,0,0,2,0,3,0,0,0,0,0,0,0,
15,11,SF,0,0,1,0,3,0,0,0,0,0,0,0,0,0,
15,8513,DD,1,0,0,0,2,0,4,0,0,0,0,0,0,0,
15,1403,VC,3,0,0,0,0,0,9,0,0,2,0,1,0,0,
15,2720,RA,2,0,0,0,3,0,3,0,0,0,0,0,0,0,They had consistent scoring but they rotated around the field very slow.
15,4285,ME,1,0,0,0,0,0,2,0,1,0,0,0,0,0,
16,56,VC,1,0,0,0,0,0,8,0,0,0,0,0,0,0,"Tried to climb, failed 3 not auto, slow pickup"
16,102,Sb,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"Made a shot at speaker and missed
Attempted climb"
16,1218,SF,1,0,0,0,5,0,1,0,0,0,0,1,0,0,
16,3637,ME,1,0,0,0,0,0,2,0,1,0,0,1,1,0,
16,4361,AO,1,0,0,0,0,0,4,0,0,0,0,0,0,0,
16,5181,RA,1,0,0,0,0,0,6,0,0,0,0,1,0,0,Went for center line in auto but missed. Good scoring slow rotation.
17,2590,WL,1,0,0,0,2,0,2,0,0,0,0,0,1,0,
17,7414,MI,4,0,0,0,0,0,7,0,0,0,0,0,0,0,
17,1811,LB,1,0,0,0,0,0,4,0,0,0,0,1,0,0,
17,4342,AO,3,0,0,0,4,0,2,0,0,0,0,0,0,0,
17,5438,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Did not show
17,484,RA,1,0,0,0,2,0,5,0,0,0,0,1,0,0,Standard round good speed consistent scoring. They could q!so score from a but if distance they didn't just have to come up close.
18,5684,WL,2,0,0,0,0,0,4,0,0,0,0,1,0,0,
18,2495,WL,0,0,0,0,3,0,1,0,0,0,0,1,1,0,
18,1089,AO,1,0,0,0,2,0,1,0,1,0,0,0,0,0,
18,1168,MI,3,0,0,0,1,0,5,0,0,0,0,0,0,0,
18,714,SG,1,0,0,0,0,0,5,0,0,0,0,1,1,0,
18,5895,RA,2,0,0,0,4,0,5,0,0,0,0,0,0,0,Peddie seemed much slower and they goobed their auto
18,321,LB,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
19,222,WL,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
19,6921,Sb,3,0,0,0,1,0,3,0,0,0,0,1,0,0,"Got a note stuck in their bot that stoped them from getting more.
The third price may have been 75 I started scouting them at the end by accident."
19,75,LB,2,0,0,0,0,0,5,0,1,0,0,1,1,0,
19,2722,SG,0,0,0,0,5,0,5,0,0,0,0,1,1,0,
19,316,AO,2,0,0,0,4,0,3,0,0,0,0,1,0,0,
19,555,MI,1,0,0,0,0,0,1,0,1,0,0,0,0,0,
20,223,LB,1,0,0,0,1,0,3,0,1,0,0,0,0,0,
20,5992,MI,0,0,0,0,2,0,1,0,0,0,0,0,0,0,
20,341,Sb,3,0,0,0,3,0,7,0,0,0,0,0,1,0,May have missed a game piece during auto
20,6226,SG,0,0,1,0,6,0,0,0,0,0,0,0,0,0,
20,365,AO,1,0,0,0,4,0,2,0,1,0,0,1,1,0,
21,2539,Sb,2,0,0,0,0,0,9,0,1,1,0,1,0,0,May have miscounted the number of notes by one
21,1640,TB,2,0,0,0,3,0,1,0,1,0,0,1,0,0,
21,9094,AO,1,0,0,0,2,0,3,0,0,0,0,0,0,0,
21,1923,,1,0,0,0,0,0,7,0,0,0,0,1,0,0,Tried to get the rings on the centre line but they just missed them.
21,219,SJ,0,0,0,0,0,0,8,0,0,0,0,1,0,0,Missed 2 shots in speaker during auto
21,2191,CJ,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
22,11,AO,0,0,0,0,4,0,0,0,1,0,0,1,0,0,
22,2607,Sb,4,0,0,0,0,0,4,0,1,0,0,1,1,0,Got distracted with around 60-30 seconds left
22,7110,AV,1,0,0,0,0,0,5,0,0,0,0,1,0,0,
22,1807,TB,3,0,0,0,2,0,4,0,1,0,0,1,1,0,
22,103,SJ,3,0,0,0,0,0,4,0,0,0,0,1,0,0,Spent majority of troop stage passing notes to alliance. Several attempts for trap but failed.
22,9015,CJ,0,0,0,0,4,0,1,0,0,0,0,0,0,0,Possible shooter\amp feeder broken
23,56,TB,3,0,0,0,2,0,4,0,0,0,0,0,0,0,
23,3314,SJ,3,0,0,0,4,0,1,0,0,1,0,1,0,0,
23,7045,Sb,2,0,0,0,0,0,0,0,1,0,0,1,1,0,"Was a little distracted this match May have scored a note or two I missed 
Went to centerline but did pick up I believe
Got note stuck in bot
Shot a note out of arena"
